,Education,JoiningYear,City,PaymentTier,Age,Gender,EverBenched,ExperienceInCurrentDomain,LeaveOrNot,AgeBin
0,Bachelors,2017,Bangalore,3,34,Male,No,0,0,"(30, 35]"
1,Bachelors,2013,Pune,1,28,Female,No,3,1,"(25, 30]"
2,Bachelors,2014,New Delhi,3,38,Female,No,2,0,"(35, 40]"
3,Masters,2016,Bangalore,3,27,Male,No,5,1,"(25, 30]"
4,Masters,2017,Pune,3,24,Male,Yes,2,1,"(20, 25]"
5,Bachelors,2016,Bangalore,3,22,Male,No,0,0,"(20, 25]"
6,Bachelors,2015,New Delhi,3,38,Male,No,0,0,"(35, 40]"
7,Bachelors,2016,Bangalore,3,34,Female,No,2,1,"(30, 35]"
8,Bachelors,2016,Pune,3,23,Male,No,1,0,"(20, 25]"
9,Masters,2017,New Delhi,2,37,Male,No,2,0,"(35, 40]"
10,Masters,2012,Bangalore,3,27,Male,No,5,1,"(25, 30]"
11,Bachelors,2016,Pune,3,34,Male,No,3,0,"(30, 35]"
12,Bachelors,2018,Pune,3,32,Male,Yes,5,1,"(30, 35]"
13,Bachelors,2016,Bangalore,3,39,Male,No,2,0,"(35, 40]"
14,Bachelors,2012,Bangalore,3,37,Male,No,4,0,"(35, 40]"
15,Bachelors,2017,Bangalore,1,29,Male,No,3,0,"(25, 30]"
16,Bachelors,2014,Bangalore,3,34,Female,No,2,0,"(30, 35]"
17,Bachelors,2014,Pune,3,34,Male,No,4,0,"(30, 35]"
18,Bachelors,2015,Pune,2,30,Female,No,0,1,"(25, 30]"
19,Bachelors,2016,New Delhi,2,22,Female,No,0,1,"(20, 25]"
20,Bachelors,2012,Bangalore,3,37,Male,No,0,0,"(35, 40]"
21,Masters,2017,New Delhi,2,28,Male,No,4,0,"(25, 30]"
22,Bachelors,2017,New Delhi,2,36,Male,No,3,0,"(35, 40]"
23,Bachelors,2015,Bangalore,3,27,Male,Yes,5,0,"(25, 30]"
24,Bachelors,2017,Bangalore,3,29,Male,No,4,0,"(25, 30]"
25,Bachelors,2013,Bangalore,3,22,Female,Yes,0,0,"(20, 25]"
26,Bachelors,2016,Bangalore,3,37,Male,No,2,0,"(35, 40]"
27,Bachelors,2015,Bangalore,3,23,Male,No,1,0,"(20, 25]"
28,Bachelors,2013,Pune,2,31,Female,No,2,1,"(30, 35]"
29,Masters,2017,New Delhi,2,30,Female,No,2,0,"(25, 30]"
30,PHD,2013,New Delhi,3,25,Male,No,3,0,"(20, 25]"
31,Bachelors,2014,Bangalore,3,23,Male,No,1,0,"(20, 25]"
32,Bachelors,2018,Bangalore,3,26,Male,No,4,1,"(25, 30]"
33,Bachelors,2016,Bangalore,3,40,Male,No,5,0,"(35, 40]"
34,Bachelors,2017,Pune,2,37,Female,No,0,1,"(35, 40]"
35,Bachelors,2014,Bangalore,1,30,Female,No,3,0,"(25, 30]"
36,Bachelors,2012,New Delhi,3,29,Male,No,3,0,"(25, 30]"
37,Bachelors,2018,New Delhi,2,34,Female,No,0,1,"(30, 35]"
38,Bachelors,2017,Pune,2,29,Female,No,2,1,"(25, 30]"
39,Bachelors,2014,Pune,3,30,Male,Yes,4,0,"(25, 30]"
40,Bachelors,2015,Bangalore,3,36,Male,No,1,0,"(35, 40]"
41,Masters,2017,New Delhi,2,23,Male,No,1,0,"(20, 25]"
42,Bachelors,2013,Bangalore,3,30,Male,No,3,1,"(25, 30]"
43,Bachelors,2014,Bangalore,3,36,Male,No,0,0,"(35, 40]"
44,Bachelors,2015,Pune,3,39,Male,No,4,0,"(35, 40]"
45,Bachelors,2014,Bangalore,3,23,Female,No,1,0,"(20, 25]"
46,PHD,2012,New Delhi,3,27,Male,No,5,0,"(25, 30]"
47,Masters,2013,New Delhi,3,35,Male,No,2,0,"(30, 35]"
48,Masters,2017,New Delhi,2,34,Male,No,0,0,"(30, 35]"
49,Bachelors,2013,Bangalore,3,30,Female,No,1,0,"(25, 30]"
50,PHD,2017,New Delhi,3,34,Male,No,2,0,"(30, 35]"
51,Bachelors,2015,Pune,2,26,Female,No,4,1,"(25, 30]"
52,Bachelors,2016,Bangalore,3,34,Female,No,0,0,"(30, 35]"
53,Bachelors,2014,Bangalore,3,31,Female,Yes,5,0,"(30, 35]"
54,Bachelors,2017,New Delhi,3,31,Female,Yes,5,0,"(30, 35]"
55,PHD,2013,New Delhi,3,28,Male,No,2,0,"(25, 30]"
56,Bachelors,2016,Bangalore,3,38,Male,No,2,0,"(35, 40]"
57,Masters,2014,Pune,3,39,Female,No,2,0,"(35, 40]"
58,Bachelors,2013,Pune,3,32,Male,No,4,0,"(30, 35]"
59,Masters,2017,Pune,2,36,Male,No,2,1,"(35, 40]"
60,Masters,2013,New Delhi,3,29,Male,No,3,0,"(25, 30]"
61,Bachelors,2015,Bangalore,3,30,Male,No,5,0,"(25, 30]"
62,PHD,2013,Bangalore,2,25,Male,No,3,1,"(20, 25]"
63,Bachelors,2014,Pune,1,22,Female,No,0,1,"(20, 25]"
64,Bachelors,2016,Bangalore,3,34,Male,No,4,0,"(30, 35]"
65,Bachelors,2018,Bangalore,3,40,Male,No,1,1,"(35, 40]"
66,PHD,2013,Bangalore,3,26,Male,No,4,0,"(25, 30]"
67,Bachelors,2014,New Delhi,3,28,Male,No,0,0,"(25, 30]"
68,Bachelors,2015,Bangalore,3,24,Female,No,2,0,"(20, 25]"
69,Masters,2017,Bangalore,3,40,Female,No,2,1,"(35, 40]"
70,Bachelors,2018,Bangalore,3,23,Female,No,1,1,"(20, 25]"
71,Masters,2017,Bangalore,3,31,Male,No,4,0,"(30, 35]"
72,Bachelors,2014,Pune,3,25,Female,No,3,0,"(20, 25]"
73,Bachelors,2014,Bangalore,1,27,Male,No,5,0,"(25, 30]"
74,Masters,2017,New Delhi,2,25,Female,No,3,1,"(20, 25]"
75,Bachelors,2015,Bangalore,3,40,Male,No,0,1,"(35, 40]"
76,Bachelors,2014,Bangalore,1,23,Female,No,1,0,"(20, 25]"
77,Bachelors,2017,Bangalore,3,23,Female,No,1,0,"(20, 25]"
78,Bachelors,2012,Bangalore,3,39,Male,No,1,0,"(35, 40]"
79,PHD,2015,New Delhi,1,37,Male,No,1,0,"(35, 40]"
80,Bachelors,2017,Pune,3,38,Male,No,2,0,"(35, 40]"
81,Bachelors,2013,Bangalore,3,31,Female,No,0,1,"(30, 35]"
82,Bachelors,2016,Bangalore,3,38,Male,No,5,0,"(35, 40]"
83,Bachelors,2017,Bangalore,3,25,Female,No,3,0,"(20, 25]"
84,Bachelors,2015,Bangalore,3,27,Female,Yes,5,1,"(25, 30]"
85,Bachelors,2016,Pune,2,36,Male,No,0,1,"(35, 40]"
86,Bachelors,2017,Pune,2,27,Female,No,5,1,"(25, 30]"
87,Masters,2015,Pune,2,32,Female,No,4,0,"(30, 35]"
88,Bachelors,2014,Bangalore,3,28,Male,No,4,0,"(25, 30]"
89,Masters,2012,New Delhi,3,32,Male,No,2,0,"(30, 35]"
90,Bachelors,2018,Bangalore,3,30,Male,No,0,1,"(25, 30]"
91,Bachelors,2015,New Delhi,3,22,Male,No,0,0,"(20, 25]"
92,Bachelors,2017,New Delhi,2,34,Female,No,5,0,"(30, 35]"
93,Masters,2013,New Delhi,3,36,Male,No,2,0,"(35, 40]"
94,Bachelors,2014,Bangalore,3,39,Male,No,3,1,"(35, 40]"
95,PHD,2018,Bangalore,3,26,Male,No,4,1,"(25, 30]"
96,Bachelors,2016,Bangalore,3,31,Female,No,0,0,"(30, 35]"
97,Bachelors,2014,Bangalore,3,27,Male,No,5,1,"(25, 30]"
98,Bachelors,2014,Bangalore,3,29,Female,No,0,0,"(25, 30]"
99,Bachelors,2015,Bangalore,3,24,Female,No,2,1,"(20, 25]"
100,Masters,2012,Pune,3,25,Male,No,3,1,"(20, 25]"
101,Bachelors,2013,Pune,3,25,Male,No,3,0,"(20, 25]"
102,Masters,2017,New Delhi,3,26,Female,No,4,1,"(25, 30]"
103,Bachelors,2015,Pune,2,28,Female,Yes,1,1,"(25, 30]"
104,Bachelors,2017,New Delhi,3,28,Male,No,2,0,"(25, 30]"
105,Masters,2015,Pune,1,28,Female,No,3,1,"(25, 30]"
106,Masters,2015,New Delhi,3,25,Male,No,3,0,"(20, 25]"
107,Bachelors,2017,Bangalore,3,28,Male,No,1,0,"(25, 30]"
108,Masters,2013,Pune,3,25,Male,No,3,0,"(20, 25]"
109,Bachelors,2015,Bangalore,2,25,Female,No,3,1,"(20, 25]"
110,Bachelors,2015,Bangalore,3,27,Female,No,5,0,"(25, 30]"
111,Bachelors,2017,Pune,2,27,Female,No,5,1,"(25, 30]"
112,Bachelors,2013,Bangalore,3,27,Male,No,5,1,"(25, 30]"
113,Bachelors,2012,Bangalore,3,25,Male,No,3,0,"(20, 25]"
114,Masters,2017,New Delhi,2,28,Male,No,2,0,"(25, 30]"
115,Bachelors,2014,Pune,1,26,Female,No,4,1,"(25, 30]"
116,Bachelors,2015,Bangalore,3,28,Male,No,2,0,"(25, 30]"
117,Masters,2013,New Delhi,3,26,Male,No,4,0,"(25, 30]"
118,Bachelors,2017,Bangalore,3,26,Female,No,4,0,"(25, 30]"
119,Bachelors,2017,New Delhi,2,25,Male,No,3,0,"(20, 25]"
120,Bachelors,2012,Bangalore,1,28,Female,No,3,0,"(25, 30]"
